"Gene","Scaffold","Gene_Start","Gene_End","Score","Strand","note","Function","Additional_info","Gene_size","A_thaliana_orthologue"
"g06368","scaffold_11",1125456,1126215,0.54,"-",".","Agamous-like MADS-box protein AGL45","ahrd-qc=***",759,"AT3G05860"
"g06369","scaffold_11",1127342,1128515,0.48,"-",".","Agamous-like MADS-box protein AGL80","ahrd-qc=***",1173,NA
"g06370","scaffold_11",1129880,1131534,0.3,"+",".","Anaphase-promoting complex subunit 11","ahrd-qc=***",1654,NA
"g06371","scaffold_11",1132206,1133355,0.49,"-",".","Hydrophobic protein RCI2A","ahrd-qc=***",1149,NA
"g06372","scaffold_11",1135329,1136185,0.57,"-",".","Hydrophobic protein RCI2B","ahrd-qc=***",856,NA
"g06373","scaffold_11",1139443,1142415,0.26,"-",".","Neurofilament protein-related protein","ahrd-qc=***",2972,"AT3G05900"
"g06374","scaffold_11",1142693,1145745,0.18,"-",".","Pectin acetylesterase 12","ahrd-qc=***",3052,"AT3G05910"
"g06375","scaffold_11",1147251,1148015,0.27,"-",".","F10A16.22 protein","ahrd-qc=***",764,"AT3G05920"
"g06376","scaffold_11",1148770,1149680,0.35,"+",".","Germin-like protein subfamily 2 member 3","ahrd-qc=***",910,"AT3G05930"
"g06377","scaffold_11",1149694,1151105,0.07,"-",".","Unknown protein","",1411,NA
"g06378","scaffold_11",1152264,1152985,0.2,"-",".","Unknown protein","",721,"AT3G05936"
"g06379","scaffold_11",1154458,1155075,0.12,"-",".","Unknown protein","",617,NA
"g06380","scaffold_11",1155754,1158575,0.29,"-",".","Transmembrane protein 184A","ahrd-qc=***",2821,"AT3G05940"
"g06382","scaffold_11",1161778,1162755,0.61,"-",".","Germin-like protein subfamily 1 member 7","ahrd-qc=***",977,"AT3G05950"
"g06384","scaffold_11",1168130,1170965,0.1,"-",".","Sugar transporter%2C putative","ahrd-qc=***",2835,"AT3G05960"
"g06385","scaffold_11",1171083,1176645,0.12,"-",".","Long-chain-fatty-acid--CoA ligase 1","ahrd-qc=***",5562,"AT3G05970"
"g06387","scaffold_11",1185729,1186475,0.12,"-",".","Late embryogenesis abundant (LEA) hydroxyproline-rich glycoprotein family","ahrd-qc=***",746,"AT3G05975"
"g06388","scaffold_11",1190540,1191648,0.5,"+",".","At3g05980","ahrd-qc=***",1108,"AT3G05980"
"g06389","scaffold_11",1192154,1195145,0.13,"-",".","Leucine-rich repeat protein kinase family protein","ahrd-qc=***",2991,"AT3G05990"
"g06392","scaffold_11",1205070,1205646,0.45,"+",".","RAN GTPase-activating protein 2","ahrd-qc=*-*",576,"AT3G06000"
"g06393","scaffold_11",1205658,1210845,0.12,"-",".","Snf2-family atp dependent chromatin remodeling factor snf21","ahrd-qc=***",5187,"AT3G06010"
"g06394","scaffold_11",1220860,1222146,0.15,"+",".","Protein FANTASTIC FOUR 4","ahrd-qc=***",1286,"AT3G06020"
"g06395","scaffold_11",1231851,1235915,0.13,"-",".","Mitogen-activated protein kinase kinase kinase 3","ahrd-qc=***",4064,"AT3G06030"
"g06396","scaffold_11",1236275,1237355,0.39,"-",".","BnaC05g45790D protein","ahrd-qc=***",1080,"AT3G06035"
"g06397","scaffold_11",1237812,1239125,0.31,"-",".","Ribosomal protein L12 family protein","ahrd-qc=***",1313,"AT3G06040"
"g06399","scaffold_11",1250719,1252245,0.48,"-",".","Peroxiredoxin-2F%2C mitochondrial","ahrd-qc=***",1526,"AT3G06050"
"g06400","scaffold_11",1252435,1254515,0.25,"-",".","Short-chain dehydrogenase/reductase family protein","ahrd-qc=***",2080,"AT3G06060"
"g06401","scaffold_11",1257396,1258185,0.2,"-",".","At3g06070","ahrd-qc=***",789,"AT3G06070"
"g06403","scaffold_11",1277012,1280206,0.08,"-",".","Protein trichome birefringence-like 10","ahrd-qc=***",3194,"AT3G06080"
"g06404","scaffold_11",1284781,1285191,0.71,"+",".","Unknown protein","",410,"AT3G06090"
"g06405","scaffold_11",1297079,1297996,0.36,"-",".","Aquaporin NIP1-3","ahrd-qc=*-*",917,"AT3G06100"
"g06406","scaffold_11",1298381,1299889,0.61,"+",".","Dual specificity protein phosphatase 1B","ahrd-qc=***",1508,"AT3G06110"
"g06407","scaffold_11",1301751,1303474,0.76,"+",".","Transcription factor MUTE","ahrd-qc=***",1723,"AT3G06120"
"g06409","scaffold_11",1317151,1319306,0.17,"-",".","Heavy-metal-associated domain-containing protein","ahrd-qc=***",2155,"AT3G06130"
"g06410","scaffold_11",1320992,1323076,0.11,"-",".","RING finger protein 157","ahrd-qc=***",2084,"AT3G06140"
"g06411","scaffold_11",1324321,1325016,0.4,"-",".","At3g06145","ahrd-qc=***",695,"AT3G06145"
"g06412","scaffold_11",1326372,1328646,0.21,"-",".","F28L1.9 protein","ahrd-qc=***",2274,"AT3G06150"
"g06413","scaffold_11",1330241,1332252,0.2,"+",".","B3 domain-containing protein REM21","ahrd-qc=***",2011,"AT3G06160"
"g06414","scaffold_11",1332371,1334928,0.31,"+",".","Serine incorporator 3","ahrd-qc=***",2557,"AT3G06170"
"g06415","scaffold_11",1336641,1339050,0.13,"+",".","At3g06180","ahrd-qc=***",2409,"AT3G06180"
"g06416","scaffold_11",1339391,1341906,0.28,"-",".","BTB/POZ and MATH domain-containing protein 2","ahrd-qc=***",2515,"AT3G06190"
"g06417","scaffold_11",1342081,1343794,0.2,"+",".","Guanylate kinase%2C putative","ahrd-qc=***",1713,"AT3G06200"
"g06418","scaffold_11",1344511,1347979,0.33,"+",".","ARM repeat superfamily protein","ahrd-qc=***",3468,"AT3G06210"
"g06419","scaffold_11",1348124,1349396,0.38,"-",".","B3 domain-containing protein At3g06220","ahrd-qc=***",1272,"AT3G06220"
"g06420","scaffold_11",1350221,1351252,0.35,"+",".","Mitogen-activated protein kinase kinase 8","ahrd-qc=***",1031,"AT3G06230"
"g06421","scaffold_11",1352161,1353798,0.11,"+",".","F-box family protein","ahrd-qc=***",1637,"AT3G06240"
"g06423","scaffold_11",1355580,1359336,0.17,"-",".","Protein FAR1-RELATED SEQUENCE 7","ahrd-qc=***",3756,"AT3G06250"
"g06424","scaffold_11",1360259,1361546,0.51,"-",".","Hexosyltransferase","ahrd-qc=***",1287,"AT3G06260"
"g06425","scaffold_11",1367951,1371055,0.17,"+",".","Protein phosphatase 2c%2C putative","ahrd-qc=***",3104,"AT3G06270"
"g06426","scaffold_11",1376924,1385436,0.14,"-",".","SAC3 family protein B","ahrd-qc=***",8512,"AT3G06290"
"g06427","scaffold_11",1385631,1387847,0.19,"+",".","Prolyl 4-hydroxylase subunit alpha-1","ahrd-qc=***",2216,"AT3G06300"
"g06432","scaffold_11",1413962,1415246,0.9,"-",".","NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 8-A","ahrd-qc=***",1284,"AT3G06310"
"g06433","scaffold_11",1415361,1416089,0.24,"+",".","50S ribosomal protein L33","ahrd-qc=***",728,NA
"g06434","scaffold_11",1420791,1423755,0.2,"+",".","E3 ubiquitin-protein ligase MARCH4","ahrd-qc=***",2964,"AT3G06330"
"g06435","scaffold_11",1424196,1427206,0.23,"-",".","DnaJ domain-containing protein","ahrd-qc=***",3010,"AT3G06340"
"g06436","scaffold_11",1432203,1435436,0.62,"-",".","Shikimate dehydrogenase (NADP(+))","ahrd-qc=***",3233,"AT3G06350"
"g06437","scaffold_11",1440598,1441154,0.25,"+",".","Classical arabinogalactan protein 27","ahrd-qc=***",556,"AT3G06360"
"g06438","scaffold_11",1442429,1446053,0.2,"-",".","Sodium/hydrogen exchanger 3","ahrd-qc=***",3624,"AT3G06370"
"g06439","scaffold_11",1450358,1452672,0.08,"+",".","Tubby-like F-box protein 9","ahrd-qc=***",2314,"AT3G06380"
"g06441","scaffold_11",1455349,1456283,0.2,"-",".","CASP-like protein","ahrd-qc=***",934,"AT3G06390"
"g06442","scaffold_11",1457828,1463600,0.66,"+",".","SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily A member 5","ahrd-qc=***",5772,"AT3G06400"
"g06443","scaffold_11",1463927,1466403,0.22,"-",".","Zinc finger CCCH domain-containing protein 34","ahrd-qc=***",2476,"AT3G06410"
"g06444","scaffold_11",1474160,1475493,0.17,"-",".","Autophagy-related protein 8h","ahrd-qc=***",1333,"AT3G06420"
"g06445","scaffold_11",1475665,1477503,0.42,"-",".","Pentatricopeptide repeat-containing protein%2C putative","ahrd-qc=***",1838,"AT3G06430"
"g06447","scaffold_11",1496543,1499453,0.15,"-",".","Galactosyltransferase family protein","ahrd-qc=***",2910,"AT3G06440"
"g06448","scaffold_11",1499749,1503743,0.26,"-",".","Boron transporter","ahrd-qc=***",3994,"AT3G06450"
"g06449","scaffold_11",1507268,1508325,0.7,"+",".","Elongation of very long chain fatty acids protein 5","ahrd-qc=*-*",1057,"AT3G06460"
"g06450","scaffold_11",1509688,1510692,0.09,"+",".","Elongation of very long chain fatty acids protein 5","ahrd-qc=***",1004,"AT3G06470"
"g06451","scaffold_11",1510852,1515653,0.12,"-",".","DEAD-box ATP-dependent RNA helicase 40","ahrd-qc=***",4801,"AT3G06480"
"g06452","scaffold_11",1515871,1518193,0.14,"-",".","Pyruvate dehydrogenase kinase family protein","ahrd-qc=***",2322,"AT3G06483"
"g06453","scaffold_11",1534618,1537118,0.09,"+",".","MYB transcription factor 108-2","ahrd-qc=***",2500,"AT3G06490"
"g06454","scaffold_11",1542668,1546087,0.52,"+",".","Neutral/alkaline invertase","ahrd-qc=***",3419,"AT3G06500"
"g06455","scaffold_11",1546728,1550079,0.27,"+",".","Beta-glucosidase-like protein","ahrd-qc=***",3351,"AT3G06510"
"g06456","scaffold_11",1550528,1552492,0.14,"+",".","Agenet domain-containing protein","ahrd-qc=***",1964,"AT3G06520"
"g06457","scaffold_11",1552958,1564404,0.16,"+",".","U3 small nucleolar RNA-associated protein 10 and NUC211 domain-containing protein%2C putative isoform 1","ahrd-qc=***",11446,"AT3G06530"
"g06458","scaffold_11",1565268,1567893,0.65,"-",".","Gdp dissociation inhibitor family protein","ahrd-qc=***",2625,"AT3G06540"
"g06459","scaffold_11",1568328,1569352,0.1,"+",".","Unknown protein","",1024,"AT3G06545"
"g06461","scaffold_11",1572575,1576423,0.92,"-",".","O-acetyltransferase family protein","ahrd-qc=***",3848,"AT3G06550"
"g06462","scaffold_11",1577608,1580662,0.16,"+",".","Nuclear poly(A) polymerase 3","ahrd-qc=***",3054,"AT3G06560"
"g06463","scaffold_11",1580724,1582033,0.26,"-",".","F-box/kelch-repeat protein At3g06570","ahrd-qc=***",1309,"AT3G06570"
"g06464","scaffold_11",1582223,1584723,0.31,"-",".","Galactokinase","ahrd-qc=***",2500,"AT3G06580"
"g06465","scaffold_11",1587904,1588863,0.17,"-",".","Transcription factor bHLH148","ahrd-qc=***",959,"AT3G06590"
"g06466","scaffold_11",1599532,1605336,0.23,"-",".","Kinase family protein","ahrd-qc=***",5804,"AT3G06620"
"g06467","scaffold_11",1610507,1615076,0.17,"-",".","Protein kinase family protein","ahrd-qc=***",4569,"AT3G06630"
"g06468","scaffold_11",1619954,1622946,0.04,"-",".","Kinase family protein","ahrd-qc=***",2992,NA
"g06469","scaffold_11",1623470,1627056,0.33,"-",".","ATP citrate synthase","ahrd-qc=***",3586,"AT3G06650"
"g06470","scaffold_11",1629191,1633015,0.29,"+",".","FIP1","ahrd-qc=***",3824,"AT3G66652"
"g06471","scaffold_11",1633251,1635784,0.18,"+",".","Peptidyl-prolyl cis-trans isomerase","ahrd-qc=***",2533,"AT3G66654"
"g06472","scaffold_11",1636375,1637196,0.54,"-",".","MADS-box family protein","ahrd-qc=***",821,"AT3G66656"
"g06473","scaffold_11",1638392,1642296,0.17,"-",".","Aldehyde dehydrogenase","ahrd-qc=***",3904,"AT3G66658"
"g06475","scaffold_11",1652021,1653276,0.16,"+",".","Plant invertase/pectin methylesterase inhibitor domain-containing protein","ahrd-qc=***",1255,"AT3G36659"
"g06476","scaffold_11",1654831,1655945,0.03,"+",".","Unknown protein","",1114,NA
"g06477","scaffold_11",1673341,1675790,0.15,"+",".","PAPA-1-like and zinc finger-HIT domain-containing protein","ahrd-qc=***",2449,"AT3G06660"
"g06478","scaffold_11",1676432,1683096,0.47,"-",".","Serine/threonine-protein phosphatase 4 regulatory subunit 3","ahrd-qc=***",6664,"AT3G06670"
"g06479","scaffold_11",1686412,1688496,0.05,"-",".","60S ribosomal protein L29-1","ahrd-qc=*-*",2084,NA
"g06480","scaffold_11",1689252,1689906,0.38,"-",".","60S ribosomal protein L29-1","ahrd-qc=***",654,NA
"g06482","scaffold_11",1693511,1699156,0.07,"+",".","Importin subunit alpha-1","ahrd-qc=***",5645,"AT3G06720"
"g06483","scaffold_11",1700321,1702035,0.18,"+",".","Thioredoxin-like protein CITRX%2C chloroplastic","ahrd-qc=***",1714,"AT3G06730"
"g06484","scaffold_11",1702301,1703404,0.16,"+",".","GATA transcription factor 15","ahrd-qc=***",1103,"AT3G06740"
"g06485","scaffold_11",1706530,1707206,0.32,"-",".","Unknown protein","",676,"AT3G06750"
"g06487","scaffold_11",1718487,1720816,0.11,"-",".","Pectin lyase-like superfamily protein","ahrd-qc=***",2329,"AT3G06770"
"g06488","scaffold_11",1722795,1724076,0.24,"-",".","DnaJ-domain-containing protein","ahrd-qc=***",1281,"AT3G06778"
"g06489","scaffold_11",1728341,1729125,0.13,"+",".","mRNA%2C clone: RTFL01-07-K18","ahrd-qc=***",784,"AT3G06780"
"g06490","scaffold_11",1729235,1730596,0.26,"-",".","Multiple organellar RNA editing factor 3%2C mitochondrial","ahrd-qc=***",1361,"AT3G06790"
"g06491","scaffold_11",1730921,1735388,0.12,"+",".","Acyl-CoA dehydrogenase family member 10","ahrd-qc=***",4467,"AT3G06810"
"g06492","scaffold_11",1735721,1738856,0.09,"-",".","Lys-63-specific deubiquitinase BRCC36","ahrd-qc=***",3135,NA
"g06493","scaffold_11",1739181,1741394,0.26,"+",".","Pectinesterase","ahrd-qc=***",2213,"AT3G06830"
"g06494","scaffold_11",1747081,1748048,0.08,"+",".","F3E22.2 protein","ahrd-qc=***",967,"AT3G06840"
"g06495","scaffold_11",1750856,1753516,0.07,"-",".","Lipoamide acyltransferase component of branched-chain alpha-keto acid dehydrogenase complex%2C mitochondrial","ahrd-qc=***",2660,"AT3G06850"
"g06496","scaffold_11",1754681,1759070,0.81,"+",".","Fatty acid oxidation complex subunit alpha","ahrd-qc=***",4389,"AT3G06860"
"g06497","scaffold_11",1762021,1763625,0.17,"+",".","BnaA05g30600D protein","ahrd-qc=***",1604,"AT3G06868"
"g06498","scaffold_11",1764578,1770106,0.3,"-",".","Transducin/WD-40 repeat-containing protein","ahrd-qc=***",5528,"AT3G06880"
"g06501","scaffold_11",1795928,1798537,0.03,"-",".","Ubiquitin-like-specific protease 1A","ahrd-qc=***",2609,"AT3G06910"
"g06502","scaffold_11",1798662,1802850,0.02,"+",".","Pentatricopeptide repeat-containing protein","ahrd-qc=***",4188,"AT3G06920"
"g06503","scaffold_11",1803009,1807117,0.16,"-",".","Histone-arginine methyltransferase CARM1","ahrd-qc=***",4108,"AT3G06930"
"g06505","scaffold_11",1810602,1812208,0.38,"+",".","tRNA pseudouridine synthase","ahrd-qc=***",1606,"AT3G06950"
"g06506","scaffold_11",1812233,1814637,0.15,"-",".","Protein TRIGALACTOSYLDIACYLGLYCEROL 4%2C chloroplastic","ahrd-qc=***",2404,"AT3G06960"
"g06508","scaffold_11",1819590,1821407,0.11,"-",".","RNA-binding protein 24","ahrd-qc=*-*",1817,"AT3G06970"
"g06509","scaffold_11",1821612,1825110,0.2,"+",".","DEAD-box ATP-dependent RNA helicase 50","ahrd-qc=***",3498,"AT3G06980"
"g06515","scaffold_12",1,731,0.3,"-",".","Adenine/guanine permease AZG1","ahrd-qc=*-*",730,NA
"g06522","scaffold_12",30006,31450,0.14,"+",".","F-box family protein","ahrd-qc=***",1444,"AT3G16820"
"g06523","scaffold_12",31746,36257,0.15,"+",".","Pumilio homolog 24","ahrd-qc=***",4511,"AT3G16810"
"g06524","scaffold_12",36456,38591,0.17,"-",".","Protein phosphatase 2c%2C putative","ahrd-qc=***",2135,"AT3G16800"
"g06525","scaffold_12",40830,48921,0.5,"-",".","Phospholipase D zeta 1","ahrd-qc=***",8091,"AT3G16785"
"g06526","scaffold_12",49557,51171,0.15,"-",".","Ribosomal protein L19","ahrd-qc=***",1614,"AT3G16780"
"g06527","scaffold_12",58933,60081,0.5,"-",".","Ethylene-responsive transcription factor RAP2-3","ahrd-qc=***",1148,"AT3G16770"
"g06528","scaffold_12",61227,63581,0.18,"-",".","Sperm-associated antigen 1","ahrd-qc=***",2354,"AT3G16760"
"g06529","scaffold_12",65506,66927,0.26,"+",".","Unknown protein","",1421,NA
"g06530","scaffold_12",67712,69081,0.28,"-",".","F-box family protein","ahrd-qc=***",1369,"AT3G16740"
"g06531","scaffold_12",69356,73085,0.22,"+",".","Condensin-2 complex subunit H2","ahrd-qc=***",3729,"AT3G16730"
"g06533","scaffold_12",79282,80501,0.34,"-",".","RING-H2 finger protein ATL2","ahrd-qc=***",1219,"AT3G16720"
"g06534","scaffold_12",84772,89111,0.03,"-",".","Pentatricopeptide repeat-containing protein","ahrd-qc=***",4339,"AT3G16710"
"g06535","scaffold_12",91246,93395,0.06,"+",".","Bidirectional sugar transporter SWEET16","ahrd-qc=***",2149,"AT3G16690"
"g06537","scaffold_12",101715,102621,0.67,"-",".","AT3g16670/MGL6_12","ahrd-qc=***",906,"AT3G16670"
"g06538","scaffold_12",105823,107111,0.14,"-",".","At3g16660","ahrd-qc=***",1288,"AT3G16660"
"g06539","scaffold_12",109120,113201,0.07,"-",".","Pre-mRNA splicing factor prp46","ahrd-qc=***",4081,"AT3G16650"
"g06540","scaffold_12",113466,115098,0.32,"+",".","Translationally-controlled tumor protein homolog","ahrd-qc=***",1632,"AT3G16640"
"g06541","scaffold_12",116866,122167,0.31,"+",".","Kinesin-like protein","ahrd-qc=***",5301,"AT3G16630"
"g06542","scaffold_12",122676,128634,0.12,"+",".","Pentatricopeptide repeat-containing protein","ahrd-qc=*-*",5958,"AT3G16620"
"g06543","scaffold_12",129136,132097,0.5,"+",".","DNA repair helicase rad5%2C16%2C putative","ahrd-qc=***",2961,"AT3G16600"
"g06544","scaffold_12",132506,133798,0.22,"+",".","F-box family protein","ahrd-qc=***",1292,"AT3G16590"
"g06548","scaffold_12",145066,146412,0.31,"+",".","F-box family protein","ahrd-qc=***",1346,"AT3G16580"
"g06550","scaffold_12",153014,153741,0.05,"-",".","Protein RALF-like 33","ahrd-qc=***",727,"AT3G16570"
"g06551","scaffold_12",157206,160093,0.15,"+",".","Alanine--trna ligase","ahrd-qc=***",2887,"AT3G16565"
"g06552","scaffold_12",161526,164339,0.28,"+",".","Phosphatase 2C family protein","ahrd-qc=***",2813,"AT3G16560"
"g06553","scaffold_12",164541,165981,0.27,"-",".","F-box protein","ahrd-qc=***",1440,"AT3G51171"
"g06555","scaffold_12",170516,173324,0.09,"+",".","DEGP12","ahrd-qc=***",2808,"AT3G16550"
"g06557","scaffold_12",175086,178145,0.11,"+",".","Protease Do-like 10","ahrd-qc=***",3059,"AT3G16540"
"g06558","scaffold_12",179676,180757,0.38,"+",".","Lectin-like protein At3g16530","ahrd-qc=***",1081,"AT3G16530"
"g06559","scaffold_12",182336,184008,0.16,"+",".","Glycosyltransferase","ahrd-qc=***",1672,"AT3G16520"
"g06560","scaffold_12",188060,189325,0.27,"+",".","At3g16510","ahrd-qc=***",1265,"AT3G16510"
"g06562","scaffold_12",197510,199320,0.48,"+",".","Auxin-responsive protein","ahrd-qc=***",1810,"AT3G16500"
"g06563","scaffold_12",206360,208150,0.21,"+",".","IQ-domain 26","ahrd-qc=***",1790,"AT3G16490"
"g06564","scaffold_12",208965,212165,0.4,"-",".","Mitochondrial-processing peptidase subunit alpha","ahrd-qc=***",3200,"AT3G16480"
"g06565","scaffold_12",214760,216848,0.35,"+",".","Unknown protein","",2088,NA
"g06566","scaffold_12",223290,225380,0.14,"+",".","Jacalin-related lectin 35","ahrd-qc=***",2090,"AT3G16470"
"g06568","scaffold_12",231423,232885,0.44,"-",".","Jacalin lectin family protein","ahrd-qc=***",1462,"AT3G16450"
"g06569","scaffold_12",233671,235825,0.37,"-",".","Jacalin-related lectin 32","ahrd-qc=***",2154,"AT3G16440"
"g06570","scaffold_12",237269,238835,0.18,"-",".","Jacalin lectin family protein","ahrd-qc=*-*",1566,NA
"g06573","scaffold_12",259930,262234,0.14,"+",".","Nitrile-specifier protein 1","ahrd-qc=***",2304,"AT3G16390"
"g06574","scaffold_12",266821,269005,0.31,"-",".","Nitrile-specifier protein 1","ahrd-qc=***",2184,"AT3G16400"
"g06575","scaffold_12",271850,274562,0.82,"+",".","Polyadenylate-binding protein 6","ahrd-qc=***",2712,"AT3G16380"
"g06576","scaffold_12",274566,276125,0.77,"-",".","GDSL esterase/lipase APG","ahrd-qc=***",1559,"AT3G16370"
"g06577","scaffold_12",278740,281695,0.12,"-",".","Histidine-containing phosphotransfer protein 4","ahrd-qc=***",2955,"AT3G16360"
"g06579","scaffold_12",290483,292535,0.14,"-",".","MYB transcription factor","ahrd-qc=***",2052,"AT3G16350"
"g06580","scaffold_12",294137,301225,0.29,"-",".","ABC transporter G family member 29","ahrd-qc=***",7088,"AT3G16340"
"g06581","scaffold_12",309203,310055,0.6,"-",".","At3g16330","ahrd-qc=***",852,"AT3G16330"
"g06582","scaffold_12",310808,316105,0.04,"-",".","Cell division cycle protein 27 homolog A","ahrd-qc=***",5297,"AT3G16320"
"g06583","scaffold_12",317010,319070,0.14,"+",".","Nuclear pore complex protein NUP35","ahrd-qc=***",2060,"AT3G16310"
"g06584","scaffold_12",319170,320203,0.2,"+",".","CASP-like protein","ahrd-qc=***",1033,"AT3G16300"
"g06585","scaffold_12",323350,327458,0.52,"+",".","ATP-dependent zinc metalloprotease FtsH","ahrd-qc=***",4108,"AT3G16290"
"g06586","scaffold_12",329224,330165,0.55,"-",".","Ethylene-responsive transcription factor ERF036","ahrd-qc=***",941,"AT3G16280"
"g06587","scaffold_12",331708,335275,0.07,"-",".","VHS domain-containing protein At3g16270","ahrd-qc=***",3567,"AT3G16270"
"g06588","scaffold_12",335358,339295,0.37,"-",".","tRNAse Z4","ahrd-qc=***",3937,"AT3G16260"
"g06590","scaffold_12",342687,344125,0.62,"-",".","F-box protein","ahrd-qc=***",1438,NA
"g06592","scaffold_12",353507,354787,0.68,"+",".","Photosynthetic NDH subcomplex B 3","ahrd-qc=***",1280,"AT3G16250"
"g06593","scaffold_12",354856,356392,0.77,"-",".","Aquaporin-like protein","ahrd-qc=***",1536,"AT3G16240"
"g06594","scaffold_12",359072,362102,0.45,"-",".","AKAP7 2'5' RNA ligase-like domain protein","ahrd-qc=***",3030,"AT3G16230"
"g06595","scaffold_12",363826,365502,0.71,"-",".","Activating signal cointegrator 1 complex subunit 1","ahrd-qc=***",1676,"AT3G16220"
"g06596","scaffold_12",370647,373244,0.18,"+",".","DNA-directed RNA polymerase subunit beta","ahrd-qc=***",2597,"AT3G16200"
"g06597","scaffold_12",373457,374835,0.17,"+",".","Peroxyureidoacrylate/ureidoacrylate amidohydrolase RutB","ahrd-qc=***",1378,"AT3G16190"
"g06598","scaffold_12",380057,382479,0.19,"+",".","Unknown protein","",2422,NA
"g06599","scaffold_12",389497,393287,0.33,"+",".","Protein NRT1/ PTR FAMILY 1.1","ahrd-qc=***",3790,"AT3G16180"
"g06600","scaffold_12",393382,394182,0.55,"-",".","Thioesterase family protein","ahrd-qc=***",800,"AT3G16175"
"g06601","scaffold_12",394323,398652,0.09,"-",".","Malonate--CoA ligase","ahrd-qc=***",4329,"AT3G16170"
"g06602","scaffold_12",400387,402828,0.25,"+",".","Protein tesmin/TSO1-like CXC 8","ahrd-qc=***",2441,"AT3G16160"
"g06603","scaffold_12",402831,404232,0.66,"-",".","Isoaspartyl peptidase/L-asparaginase","ahrd-qc=***",1401,"AT3G16150"
"g06604","scaffold_12",406507,407431,0.13,"+",".","Photosystem I reaction center subunit VI-1%2C chloroplastic","ahrd-qc=***",924,NA
"g06605","scaffold_12",407451,409762,0.12,"-",".","Rop guanine nucleotide exchange factor 13","ahrd-qc=***",2311,NA
"g06606","scaffold_12",410303,411292,0.39,"-",".","Dynein light chain 1%2C cytoplasmic","ahrd-qc=***",989,NA
"g06608","scaffold_12",415807,416801,0.27,"+",".","Photosystem I reaction center subunit VI-1%2C chloroplastic","ahrd-qc=***",994,"AT3G16140"
"g06609","scaffold_12",416818,419132,0.16,"-",".","Rop guanine nucleotide exchange factor 13","ahrd-qc=***",2314,"AT3G16130"
"g06610","scaffold_12",419670,420652,0.24,"-",".","Dynein light chain 1%2C cytoplasmic","ahrd-qc=***",982,"AT3G16120"
"g06611","scaffold_12",421987,427035,0.1,"+",".","Protein disulfide isomerase-like 1-6","ahrd-qc=***",5048,"AT3G16110"
"g06612","scaffold_12",427145,431472,0.04,"-",".","Zinc finger family protein","ahrd-qc=***",4327,"AT3G16090"
"g06613","scaffold_12",431787,432872,0.8,"-",".","60S ribosomal protein L37-3","ahrd-qc=***",1085,"AT3G16080"
"g06614","scaffold_12",434007,434671,0.18,"+",".","BnaC05g37300D protein","ahrd-qc=***",664,"AT3G16070"
"g06615","scaffold_12",434754,439032,0.28,"-",".","Kinesin-like protein","ahrd-qc=***",4278,"AT3G16060"
"g06616","scaffold_12",440627,442010,0.12,"+",".","Pyridoxal 5'-phosphate synthase subunit PdxS","ahrd-qc=***",1383,"AT3G16050"
"g06617","scaffold_12",442018,442832,0.46,"-",".","Translation machinery-associated protein 7","ahrd-qc=-**",814,NA
"g06618","scaffold_12",442923,446632,0.36,"-",".","Serine/threonine-protein kinase","ahrd-qc=***",3709,"AT3G16030"
"g06620","scaffold_12",449887,450939,0.95,"+",".","Unknown protein","",1052,NA
"g06621","scaffold_12",452886,455082,0.31,"-",".","Pentatricopeptide repeat-containing protein","ahrd-qc=***",2196,"AT3G16010"
"g06622","scaffold_12",455457,458326,0.42,"+",".","MAR-binding filament-like protein 1","ahrd-qc=***",2869,"AT3G16000"
"g06624","scaffold_12",461702,465692,0.46,"-",".","Sulfate transporter%2C putative","ahrd-qc=***",3990,"AT3G15990"
"g06625","scaffold_12",480077,487187,0.14,"+",".","Coatomer subunit beta'-3","ahrd-qc=***",7110,"AT3G15980"
"g06626","scaffold_12",487447,489741,0.26,"+",".","Ran-binding protein 1 domain-containing protein","ahrd-qc=***",2294,"AT3G15970"
"g06629","scaffold_12",500917,502998,0.17,"+",".","NAI2-like protein","ahrd-qc=*-*",2081,"AT3G15960"
"g06630","scaffold_12",505187,510276,0.51,"+",".","TSA1-like protein","ahrd-qc=***",5089,"AT3G15950"
"g06631","scaffold_12",513854,517286,0.23,"+",".","Glycosyl transferase family 1 protein","ahrd-qc=***",3432,"AT3G15940"
"g06632","scaffold_12",519254,522655,0.6,"+",".","Phox domain-containing protein","ahrd-qc=***",3401,"AT3G15920"
"g06633","scaffold_12",522974,524381,0.49,"+",".","Unknown protein","",1407,"AT3G15900"
"g06634","scaffold_12",524399,526499,0.21,"-",".","Protein kinase superfamily protein","ahrd-qc=***",2100,"AT3G15890"
"g06636","scaffold_12",530934,538951,0.17,"+",".","Topless-related protein 4","ahrd-qc=***",8017,"AT3G15880"
"g06637","scaffold_12",539580,541619,1.48,"-",".","Delta 9 desaturase%2C putative","ahrd-qc=***",2039,"AT3G15870"
"g06638","scaffold_12",544204,544838,0.1,"+",".","BnaAnng41470D protein","ahrd-qc=***",634,"AT3G15860"
"g06639","scaffold_12",544862,547049,0.24,"-",".","Palmitoyl-monogalactosyldiacylglycerol delta-7 desaturase%2C chloroplastic","ahrd-qc=***",2187,"AT3G15850"
